,min,max,mean,search_low,search_high
delta0,0.07000557243529164,0.7846460384860798,0.19883863406872557,0.03,0.8
fmax,0.0001534880720841429,0.0008716017965487127,0.000392109222962426,0.0001,0.01
rho_dec,20.626797833479117,79.670961076098,51.76371861241349,3.0,80.0
sigma_dec,0.6310531130891188,0.9373940118416209,0.8577300831470511,0.5,0.95
sigma_inc,1.2963510355423344,1.799724850795968,1.5020274702572463,1.1,1.8
apply_eckart,0.0,1.0,0.5,,
