sample_idx,n_converged,n_total,convergence_rate,best_converged_step,best_combo_tag
179,5,32,0.15625,1848,n0.5_rfo_str_20k_re0.01_ar1_pls_pgtrue_phfalse
199,6,32,0.1875,34,n0.5_rfo_str_20k_re0.01_ar1_pls_pgtrue_phfalse
129,7,32,0.21875,2452,n0.5_rfo_str_20k_re0.01_ar1_pls_pgtrue_phfalse
16,9,32,0.28125,170,n1.0_mad1.3_se1e-3_sctr_re0.01_ar1_pls_pgtrue_phfalse
100,9,32,0.28125,263,n0.5_mad1.3_se1e-3_sctr_str_trf0.005_re0.01_ar1_pls_pgtrue_phfalse
147,9,32,0.28125,48,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pls_pgtrue_phfalse
183,9,32,0.28125,1112,n0.5_rfo_re0.01_ar1_pls_pgtrue_phfalse
193,10,32,0.3125,1053,n1.5_mad1.3_se1e-3_sctr_re0.01_ar1_pls_pgtrue_phfalse
228,10,32,0.3125,29,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pls_pgtrue_phfalse
277,10,32,0.3125,72,n0.5_rfo_re0.01_ar1_pls_pgtrue_phfalse
70,11,32,0.34375,372,n0.5_rfo_str_20k_re0.01_ar1_pls_pgtrue_phfalse
83,11,32,0.34375,3089,n1.5_rfo_re0.01_ar1_pls_pgtrue_phfalse
134,11,32,0.34375,11,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pls_pgtrue_phfalse
178,11,32,0.34375,549,n0.5_rfo_str_trf0.005_re0.01_ar1_pls_pgtrue_phfalse
181,11,32,0.34375,73,n0.5_mad1.3_se1e-3_sctr_str_20k_re0.01_ar1_pls_pgtrue_phfalse
41,12,32,0.375,433,n0.5_rfo_re0.01_ar1_pls_pgtrue_phfalse
71,12,32,0.375,42,n0.5_mad1.3_se1e-3_sctr_str_20k_re0.01_ar1_pls_pgtrue_phfalse
109,12,32,0.375,739,n0.5_rfo_str_20k_re0.01_ar1_pls_pgtrue_phfalse
167,12,32,0.375,51,n0.5_rfo_re0.01_ar1_pls_pgtrue_phfalse
240,12,32,0.375,5,n0.5_rfo_re0.01_ar1_pls_pgtrue_phfalse
282,12,32,0.375,100,n1.0_mad1.3_se1e-3_sctr_re0.01_ar1_pls_pgtrue_phfalse
23,13,32,0.40625,2250,n0.5_mad1.3_se1e-3_sctr_str_20k_re0.01_ar1_pls_pgtrue_phfalse
39,13,32,0.40625,21,n0.5_mad1.3_se1e-3_sctr_str_20k_re0.01_ar1_pls_pgtrue_phfalse
50,13,32,0.40625,11,n0.5_mad1.3_se1e-3_sctr_str_20k_re0.01_ar1_pls_pgtrue_phfalse
55,13,32,0.40625,15,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pls_pgtrue_phfalse
91,13,32,0.40625,142,n0.5_rfo_re0.01_ar1_pls_pgtrue_phfalse
117,13,32,0.40625,1165,n0.5_rfo_re0.01_ar1_pls_pgtrue_phfalse
132,13,32,0.40625,52,n0.5_mad1.3_se1e-3_sctr_str_20k_re0.01_ar1_pls_pgtrue_phfalse
159,13,32,0.40625,194,n1.0_rfo_str_20k_re0.01_ar1_pls_pgtrue_phfalse
230,13,32,0.40625,45,n0.5_rfo_str_20k_re0.01_ar1_pls_pgtrue_phfalse
286,13,32,0.40625,837,n1.0_rfo_str_20k_re0.01_ar1_pls_pgtrue_phfalse
22,14,32,0.4375,399,n0.5_rfo_str_20k_re0.01_ar1_pls_pgtrue_phfalse
98,14,32,0.4375,942,n1.5_rfo_str_20k_re0.01_ar1_pls_pgtrue_phfalse
127,14,32,0.4375,22,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pls_pgtrue_phfalse
158,14,32,0.4375,425,n0.5_mad1.3_se1e-3_sctr_str_20k_re0.01_ar1_pls_pgtrue_phfalse
164,14,32,0.4375,429,n0.5_rfo_re0.01_ar1_pls_pgtrue_phfalse
168,14,32,0.4375,1004,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pls_pgtrue_phfalse
206,14,32,0.4375,12,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pls_pgtrue_phfalse
223,14,32,0.4375,11,n0.5_rfo_re0.01_ar1_pls_pgtrue_phfalse
259,14,32,0.4375,1961,n0.5_rfo_re0.01_ar1_pls_pgtrue_phfalse
34,15,32,0.46875,13,n0.5_mad1.3_se1e-3_sctr_str_20k_re0.01_ar1_pls_pgtrue_phfalse
