rank,tag,max_atom_disp,nr_threshold,lm_mu,shift_epsilon,anneal_force_threshold,stagnation_window,escape_alpha,lm_mu_anneal_factor,neg_mode_line_search,neg_trust_floor,blind_mode_threshold,blind_correction_alpha,aggressive_trust_recovery,escape_bidirectional,mode_follow_eval_threshold,project_gradient_and_v,purify_hessian,n_samples,n_converged,n_errors,convergence_rate,mean_steps_when_converged,mean_wall_time,total_wall_time,total_escapes,total_line_searches,total_mode_follows,step_control,max_nr_weight,polynomial_linesearch,noise_level,crossover_mu_max,crossover_n_neg_ref,crossover_force_ref,path
1,n0.5_rfo_str_20k_re0.01_ar1_pls_pgtrue_phfalse,1.3,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.02,False,False,0.0,True,False,287,272,1,0.9477351916376306,2249.580882352941,76.27322525097517,21890.415647029877,0,0,0,trust_region,0.0,True,0.5,0.0,0.0,0.0,/scratch/memoozd/ts-tools-scratch/runs/min_nr_v11_1113757/n0.5_rfo_str_20k_re0.01_ar1_pls_pgtrue_phfalse/minimization_newton_raphson_1113757_results.json
2,n0.5_mad1.3_se1e-3_sctr_str_20k_re0.01_ar1_pls_pgtrue_phfalse,1.3,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.02,False,False,0.0,True,False,287,257,2,0.8954703832752613,2325.9455252918287,89.42769105343038,25665.74733233452,0,0,0,trust_region,0.0,True,0.5,0.0,3.0,0.1,/scratch/memoozd/ts-tools-scratch/runs/min_nr_v11_1113757/n0.5_mad1.3_se1e-3_sctr_str_20k_re0.01_ar1_pls_pgtrue_phfalse/minimization_newton_raphson_1113757_results.json
3,n0.5_rfo_str_re0.01_ar1_pls_pgtrue_phfalse,1.3,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.02,False,False,0.0,True,False,287,256,1,0.89198606271777,1533.01953125,58.75925812737867,16863.90708255768,0,0,0,trust_region,0.0,True,0.5,0.0,0.0,0.0,/scratch/memoozd/ts-tools-scratch/runs/min_nr_v11_1113757/n0.5_rfo_str_re0.01_ar1_pls_pgtrue_phfalse/minimization_newton_raphson_1113757_results.json
4,n0.5_rfo_re0.01_ar1_pls_pgtrue_phfalse,1.3,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.02,False,False,0.0,True,False,287,255,1,0.8885017421602788,1687.0745098039215,63.99538502626718,18366.67550253868,0,0,0,trust_region,0.0,True,0.5,0.0,0.0,0.0,/scratch/memoozd/ts-tools-scratch/runs/min_nr_v11_1113757/n0.5_rfo_re0.01_ar1_pls_pgtrue_phfalse/minimization_newton_raphson_1113757_results.json
5,n1.0_rfo_str_20k_re0.01_ar1_pls_pgtrue_phfalse,1.3,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.02,False,False,0.0,True,False,287,245,0,0.8536585365853658,3428.0285714285715,144.37031021599987,41434.27903199196,0,0,0,trust_region,0.0,True,1.0,0.0,0.0,0.0,/scratch/memoozd/ts-tools-scratch/runs/min_nr_v11_1113757/n1.0_rfo_str_20k_re0.01_ar1_pls_pgtrue_phfalse/minimization_newton_raphson_1113757_results.json
6,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pls_pgtrue_phfalse,1.3,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.02,False,False,0.0,True,False,287,242,2,0.8432055749128919,1587.8347107438017,57.81923157495904,16594.119462013245,0,0,0,trust_region,0.0,True,0.5,0.0,3.0,0.1,/scratch/memoozd/ts-tools-scratch/runs/min_nr_v11_1113757/n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pls_pgtrue_phfalse/minimization_newton_raphson_1113757_results.json
7,n0.5_mad1.3_se1e-3_sctr_str_re0.01_ar1_pls_pgtrue_phfalse,1.3,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.02,False,False,0.0,True,False,287,239,2,0.8327526132404182,1521.9707112970711,59.47063234458817,17068.071482896805,0,0,0,trust_region,0.0,True,0.5,0.0,3.0,0.1,/scratch/memoozd/ts-tools-scratch/runs/min_nr_v11_1113757/n0.5_mad1.3_se1e-3_sctr_str_re0.01_ar1_pls_pgtrue_phfalse/minimization_newton_raphson_1113757_results.json
8,n1.0_rfo_re0.01_ar1_pls_pgtrue_phfalse,1.3,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.02,False,False,0.0,True,False,287,230,0,0.8013937282229965,2438.3608695652174,97.72784616556733,28047.891849517822,0,0,0,trust_region,0.0,True,1.0,0.0,0.0,0.0,/scratch/memoozd/ts-tools-scratch/runs/min_nr_v11_1113757/n1.0_rfo_re0.01_ar1_pls_pgtrue_phfalse/minimization_newton_raphson_1113757_results.json
9,n1.0_rfo_str_re0.01_ar1_pls_pgtrue_phfalse,1.3,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.02,False,False,0.0,True,False,287,225,0,0.7839721254355401,2521.6444444444446,103.94222099274293,29831.41742491722,0,0,0,trust_region,0.0,True,1.0,0.0,0.0,0.0,/scratch/memoozd/ts-tools-scratch/runs/min_nr_v11_1113757/n1.0_rfo_str_re0.01_ar1_pls_pgtrue_phfalse/minimization_newton_raphson_1113757_results.json
10,n1.5_rfo_str_20k_re0.01_ar1_pls_pgtrue_phfalse,1.3,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.02,False,False,0.0,True,False,287,222,1,0.7735191637630662,5971.585585585585,226.4392317795172,64988.059520721436,0,0,0,trust_region,0.0,True,1.5,0.0,0.0,0.0,/scratch/memoozd/ts-tools-scratch/runs/min_nr_v11_1113757/n1.5_rfo_str_20k_re0.01_ar1_pls_pgtrue_phfalse/minimization_newton_raphson_1113757_results.json
